date,ability,evidence
2026-08-20,끈기·문제해결력,학습과 과제를 진행하며 어려운 부분을 포기하지 않고 끝까지 이해하려고 노력함.
2026-08-21,끈기·문제해결력,이해가 부족한 부분을 다시 확인하고 끝까지 학습함.
2026-08-24,공감·배려,동료의 상황을 듣고 상대방의 입장에서 생각하며 소통하려고 노력함.
2026-08-25,끈기·문제해결력,과제를 진행하면서 막히는 부분을 다시 확인하고 해결 방법을 찾아봄.
2026-08-26,공감·배려,동료의 이야기를 경청하고 상대방이 편하게 이야기할 수 있도록 배려함.
2026-08-28,끈기·문제해결력,GNS3 OSPF NSSA 실습에서 발생한 문제의 원인을 확인하며 설정을 수정하고 해결함.
2026-08-28,책임감,실습 결과를 확인하고 문제가 해결될 때까지 필요한 부분을 다시 점검함.
2026-08-31,끈기·문제해결력,어려운 내용을 반복해서 확인하며 학습을 이어감.
2026-08-31,책임감,맡은 학습과 과제를 끝까지 확인하고 마무리하려고 함.
2026-09-01,자기주도성,과제 구현 과정에서 필요한 내용을 스스로 확인하고 적용함.
2026-09-02,자기주도성,문제가 발생했을 때 원인을 직접 확인하고 해결 방법을 찾아봄.
2026-09-03,공감·배려,동료의 상황을 듣고 공감하며 대화하려고 노력함.
2026-09-04,공감·배려,상대방의 말을 끝까지 듣고 의견을 존중하며 소통함.
2026-09-09,책임감,해야 할 일을 스스로 확인하고 끝까지 수행함.
2026-09-09,자기주도성,필요한 문제를 직접 확인하고 해결 방법을 찾아 적용함.
2026-09-10,끈기·문제해결력,학습 과정에서 어려운 부분을 포기하지 않고 계속 확인함.
2026-09-11,공감·배려,해커톤 팀 활동에서 구성원의 의견을 듣고 역할과 소통을 조율함.
2026-09-14,책임감,팀 활동에서 맡은 역할을 수행하고 결과를 끝까지 확인함.
2026-09-14,책임감·리더십,아동 안전 앱 해커톤에서 팀을 이끌고 역할을 조율했으며 장려상을 받음.
2026-09-15,책임감,학습과 과제를 계획에 맞게 수행하고 결과를 확인함.
2026-09-16,끈기·문제해결력,Plan-Do-See Diary의 GitHub 코드 복구 과정에서 원인을 확인하고 필요한 코드를 직접 수정함.
2026-09-16,자기주도성,코드 복구 과정에서 문제 상황을 직접 확인하고 해결 방법을 찾아 적용함.
2026-09-17,끈기·문제해결력,실습과 과제에서 발생한 문제를 반복 확인하며 해결함.
2026-09-21,끈기·문제해결력,네트워크 보안 실습에서 ping과 Metasploit 결과가 예상과 다른 원인을 확인하며 해결함.
2026-09-21,자기주도성,실습 오류를 스스로 확인하고 필요한 설정과 명령을 찾아 적용함.
2026-09-22,공감·배려,동료와의 관계에서 상대방의 입장을 생각하며 소통하려고 함.
2026-09-22,책임감,과제와 학습 내용을 확인하고 필요한 부분을 끝까지 정리함.
2026-09-23,끈기·문제해결력,공공데이터 인턴 경험을 돌아보며 pandas와 openpyxl을 활용해 반복적인 데이터 처리 업무를 개선하고 오류 가능성을 줄임.
2026-09-23,자기주도성,반복적인 데이터 정리 업무를 더 효율적으로 처리할 방법을 직접 찾아 Python 도구를 적용함.
2026-09-23,공감·배려,동료의 이야기를 듣고 상대방의 관점을 이해하려고 노력함.
