id,title,submitted,status,attachment,url
T01,Studio 과제 01,2026-08-25 16:56,최종 확인 완료,없음,https://github.com/Soyoon0608/my-portfolio/commit/e58625087f0cf53395f0a558dcb503056a3c8146
T02,Studio 과제 02,2026-09-01 16:51,최종 확인 완료,없음,https://github.com/Soyoon0608/mini-game
T03,Studio 과제 03,2026-09-04 17:47,최종 확인 완료,없음,https://github.com/Soyoon0608/mini-card-studio/commit/b6a6fc5b3cbeeb3d9d9a7a6520d9c0653c86e9fb
T04,Studio 과제 04,2026-09-08 15:45,최종 확인 완료,없음,https://github.com/Soyoon0608/today-info-board/commit/22bdfd15b40b828d798dbee2d006409f3e241d2a
T05,Studio 과제 05,2026-09-10 09:31,최종 확인 완료,today-info-board_ai_b.zip,https://github.com/Soyoon0608/today-info-board/commit/f223cf2cc66a55d4b0be6a509c3dfab79eda51cb
T06,Studio 과제 06,2026-09-11 16:52,최종 확인 완료,pds-schema-v2.json,https://github.com/Soyoon0608/plan-do-see-diary/commit/fc4d1771171472ddb264b4f33acf45f5be6648d9
T07,Studio 과제 07,2026-09-16 14:17,최종 확인 완료,없음,https://github.com/Soyoon0608/plan-do-see-diary/commit/46a8851c49d9e80bbb309c5490f895e3d2ea0a08
T08,Studio 과제 08,2026-09-17 14:26,최종 확인 완료,없음,https://github.com/Soyoon0608/passkey-intro-page
T09,Studio 과제 09,2026-09-17 16:45,최종 확인 완료,김소윤_나의 강점과 성장 기록.md,
T10,Studio 과제 10,2026-09-18 12:44,최종 확인 완료,AI의 피싱 이메일 판별 정확도에 관한 탐색적 연구.docx,
T11,Studio 과제 11,2026-09-21 12:33,최종 확인 완료,아직_도착하지_않은_사람_최종확인본.docx,
